Offset;OriginalLength;OriginalString;Translation;Notes;
642852;16;：履帯破損＜＜＜;: Track damage;;
642872;14;：砲破損＜＜＜;: Gun damage;;
642888;16;：砲塔破損＜＜＜;: Turret damage;;
642908;16;：機関炎上＜＜＜;: Engine on fire;;
642928;16;：機関損傷＜＜＜;: Engine damaged;;
642948;16;：機関破壊＜＜＜;: Engine dead;;
643084;66;砲弾を補給しますか？ ＜ ＜＜;Resupply Ammunition?;;
643152;38;＜ 補給が完了しました ＜＜;Ammunition resupplied.;;
643208;18;（残りＯ回）＜＜＜;Left: pp＜＜＜;;
643228;18;（使用不可）＜＜＜;Unavailable＜＜＜;;
643460;66;警告！ これ以上進むと、＜戦闘を放棄することになります ＜＜;Warning! If you move further, you will abadon the battle.;;
646344;24;砲の可動範囲外です＜＜＜;Gun is out of range;;
656116;38;警告：車両を変更した場合、戦闘結果は;Warning: Change of vehicle will ;;
656156;38;記録されません。よろしいですか？;disable battle results!;;
657840;14;拡張ソケット１;Socket 1;;
657856;14;拡張ソケット２;Socket 2;;
657872;20;拡張ソケット２;Socket 2;;
657896;20;拡張ソケット１;Socket 1;;
658072;16;よろしいですか？; Are you sure?  ;;
658116;44;メモリーカードをチェックしています。;Checking memory card.;;
658164;44;メモリーカードを抜き差ししないでください。;Please do not remove the memory card.;;
658260;46;メモリーカードが差されていません。;Memory card is not plugged in.;;
658308;46;メモリーカードが壊れています。;Memory card is corrupted.;;
658356;46;正常なメモリーカードを用意してください。;Please use a valid memory card.;;
658404;46;セーブデータが見つかりません。;Save data can not be found.;;
658452;46;セーブデータの読み込みをしています。;Loading save data.;;
658500;46;メモリーカードを抜き差ししないでください。;Please do not remove the memory card.;;
658548;46;セーブデータの読み込みが終了しました。;Finished loading save data.;;
658596;46;のメモリーカードから;Load save data from;;
658644;46;セーブデータを読み込みます。よろしいですか？;Loading selected save data. Are you sure?   ;;
658692;46;セーブデータが壊れています。;Save data is corrupted.;;
658740;46;Ａポートの拡張ソケットを使用します。;Use the socket of the A port.;;
658788;46;どちらの拡張ソケットを使用しますか？;Which socket do you want to use?    ;;
658836;46;今回の戦闘結果を保存しますか？;Save result of this battle?;;
658884;46;メモリーカードに保存しています。;Saved to memory card.;;
658932;46;メモリーカードを;Please do not;;
658980;46;抜き差ししないでください。;remove the memory card.;;
659028;46;空きブロックが不足しています。セーブを行うには;There are not enough free blocks.;;
659076;46;１６ブロックの空きがあるメモリーカードが;You need 16 free blocks to save.;;
659124;46;必要です。セーブを中止しますか？;Do you want to abort the save?;;
659172;46;セーブを行うには、１６ブロックの空きがある;To save, you will need a memory card with ;;
659220;46;メモリーカードが必要です。;16 blocks of free space.;;
659268;46;セーブを中止しますか？;Do you want to abort?;;
659316;46;正常なメモリーカードを;Please get a valid;;
659364;46;用意して下さい。;memory card.;;
659412;46;メモリーカードが抜かれました。;The memory card was removed.;;
659460;46;メモリーカードをチェックしています。;Checking the memory card.;;
659508;46;上書きしてもよろしいですか？;Do you want to overwrite it?;;
659556;46;保存終了しました。;Saving finished.;;
659604;46;Ａポートの拡張ソケットを使用します。;Use an expansion socket for port A.;;
659652;46;どちらの拡張ソケットで保存しますか？;On which socket do you want to save?;;
659700;46;現在のオプションの内容を;Do you want to save the ;;
659748;46;メモリーカードに保存しますか？;current settings?;;
671192;4;車種;Name;;
671200;22;戦車撃破数（総撃破数）;Tank Kills (Total);;
671240;8;戦闘結果;Results;;
638612;22;フォーメーション＜＜＜;Select Formation＜＜＜;;
638636;32;野砲支援要請（残りＸ回）＜＜＜;Artillery   Ar＜＜＜;;
638672;16;マップ表示＜＜＜;Show Map＜＜＜;;
638692;14;索敵表示＜＜＜;Scan Map＜＜＜;;
638708;14;リトライ＜＜＜;Retry＜＜＜;;
638724;14;車両放棄＜＜＜;Escape＜＜＜;;
638740;22;メニューへもどる＜＜＜;Back to the menu＜＜＜;;
638764;12;前進１＜＜＜;＜＜＜;;
638780;12;前進２＜＜＜;＜＜＜;;
638796;12;前進３＜＜＜;＜＜＜;;
638812;12;前進４＜＜＜;＜＜＜;;
638828;10;後退＜＜＜;＜＜＜;;
638840;10;射撃＜＜＜;＜＜＜;;
638852;14;積極攻撃＜＜＜;＜＜＜;;
638868;14;射撃待機＜＜＜;＜＜＜;;
638888;10;防御＜＜＜;＜＜＜;;
657992;12;ＲＯＯＫＩＥ;      Rookie;;
658008;36;モードのＴＵＴＯＲＩＡＬを開始します; tutorial mode will be started.     ;;
658048;14;ＶＥＴＥＲＡＮ;       Veteran;;
658064;6;ＡＣＥ;   Ace;;
