Offset;OriginalLength;OriginalString;Translation;Notes;
734;38;今から、＜戦車の操縦方法を教える。＜＜;Alright solider!＜＜＜;;
774;48;一度しか説明しないので＜よおーく聞いておけ！＜＜;Listen carefully!＜＜＜;;
824;62;まず、戦車を走らせるときは＜ＬトリガーとＲトリガーを使う。＜＜;In order to maneuver the tank, use the L and R buttons.＜＜＜;;
888;48;前進させるときは＜Ｌトリガー＋Ｒトリガーを。＜＜;To go forward, press L and R together.＜＜＜;;
938;66;後退させるときは＜Ｌトリガー＋Ｒトリガー＜さらにＹボタンを押す。＜;To go back, stop pressing the L and R buttons.＜＜;;
1006;60;ＬまたはＲトリガー＜のみを押すと＜ゆっくり戦車が旋回する。＜;Pressing the L or R button will turn the tank singly.＜＜;;
1068;84;また、このゲーム内では＜戦車は４速ミッションである。＜　　（↓ここがギアの表示だ）＜;The tanks in this game have four-speed transmissions.＜＜＜;;
1154;54;シフトアップはＢボタン＜シフトダウンはＹボタンだ。＜＜;Y button to shift down, B Button to shift up.＜＜;;
1210;56;むろん、オートマチックギアを＜選択することもできる。＜＜;You can also choose a tank with auto-transmission.＜＜;;
2111;22;次は射撃方法だ。＜＜＜;Now about arms.＜＜＜;;
2135;56;画面中央の四角カーソルを＜敵の戦車に合わせるのだが、＜＜;Move the square in the center onto an enemy tank.＜＜;;
2193;50;今回は左に敵がいるので＜カーソルを左に動かす。＜＜;A enemy is at left, so move the cursor there.＜＜;;
2245;36;狙いをつけたらＡボタンを押せ！＜＜＜;Press button A to fire!＜＜＜;;
2283;36;しかし！！＜ここはなくなった！！＜＜;He is hit and gone!＜＜;;
2321;66;砲塔が＜ゆっくり回転し始めるので＜そのままＡボタンを押し続けろ！＜;The turret will begin to turn slowly, A button!＜＜;;
2389;48;さらに微調整して＜もう一度Ａボタンを押す！！＜＜;A button again!＜＜;;
2439;26;ここで重要なことは、＜＜＜;Most important:＜＜＜;;
2467;46;弾は重力に引かれて落ちる、＜ということだ。＜＜;Shells are pulled down by gravity.＜＜;;
2515;42;このように、＜弾は手前に落ちてしまう。＜＜;The shell hits in front of the enemy.＜＜;;
2559;64;遠くにいる戦車の場合は、＜狙いを上に調整しなければ＜ならない。＜;So to hit distant enemy tanks, you have to adjust your aim.＜＜;;
2625;76;第２次大戦の戦車の照準器には＜この問題を解決する目盛りが＜装備されている。＜;In order to solve this problem, tanks have scales like this on guns.＜＜;;
2703;52;このゲームでは、＜ＸボタンとＹボタンで調整する。＜＜;Use X/Y buttons to adjust the site up and down.＜＜;;
2757;30;↑＜相手までの距離を読み、＜＜;Read the distance and...;;
2789;46;その距離になるまで、＜目盛りを上下させる。＜＜;Adjust the site until the number showing. ＜＜;;
2837;50;国によって目盛りの形状が＜違うので、注意しろ。＜＜;Appearance of scale differs by each country.＜＜;;
3606;54;戦車戦では、基本的に＜先に相手を見つけた方が勝つ。＜＜;Winner is usually one, who finds the enemy first.＜＜;;
3662;26;索敵は決して怠るな！＜＜＜;Never stop hunting.＜＜＜;;
3690;72;先ほどの三角のマーカーが＜ついたり消えたりするから、＜よおく見ておけ！＜;Triangular markers will pop in and out sometimes.＜;;
3764;26;画面外にいる戦車は、＜＜＜;Tanks out of scope＜＜＜;;
3792;38;マーカーが＜このように表示される。＜＜;...will be marked like this.＜＜＜;;
3832;36;すばやく左を向いて撃破せよ！！＜＜＜;Turn left and destroy them!＜＜＜;;
4759;36;最後に榴弾の使い方を説明する。＜＜＜;Let's talk about other enemys.＜＜＜;;
4797;66;榴弾は、＜目標を撃ちぬくことよりも、＜破壊を目的に作られている。＜;HE rounds are designed to blow up a target rather than pierce it.;;
4865;62;よって、火点などの建物や、＜装甲の薄い対戦車砲に使用する。＜＜;Use those on enemy fire points, buildings and vehicles.＜＜;;
4929;22;まずは、火点だ。＜＜＜;Fire points:＜＜＜;;
4953;66;黄色で表示されている榴弾を＜アナログ方向キーの＜左右で選択する。＜;Anti-tank guns can hide in buildings like this.＜＜;;
5021;34;目標までの距離を考えて発砲！＜＜＜;Don't waste time on them.＜＜＜;;
5057;68;火点は何発か打ち込まないと＜破壊できない。＜続けて榴弾を叩き込め！＜;Some fire points will take＜several shots to eliminate.＜＜＜＜;;
5127;70;破壊した火点には＜マップ上に×印がつくので、＜あとで、確認しておけ。＜;Destroyed fire points will be marked with an X on the map.;;
5199;22;次は対戦車砲だ。＜＜＜;Anti-tank guns:＜＜＜;;
5223;86;この目標は非常に小さい。＜地形に隠して配置している＜場合もあるので狙いは正確に行う。＜;These are very small targets,and they're often hidden in the terrain. Aim carefully!;;
5311;50;コツは、目標の置かれている＜地面を狙うことだ。＜＜;The key is to aim at the＜targets ground.＜＜;;
5363;70;目標が小さいので、＜このように砲弾が後ろに＜抜けてしまうことが多い。＜;Since the target is so small, sometimes a shot can pass them.＜＜＜;;
5435;66;こうすれば、＜目標は爆発に巻き込まれて＜ダメージを受けるはずだ。＜;But with shots like this, the target is will take some damage.＜＜;;
5503;30;さらに、榴弾を叩き込む。＜＜＜;Keep the shots coming!＜＜＜;;
5535;36;これで、敵を排除できたわけだ。＜＜＜;Now the enemy is taken out.＜＜＜;;
5573;40;とにかく、＜対戦車砲は厄介な相手だ。＜＜;Anti-tank guns are dangerous enemys.＜＜;;
5615;38;発見した場合は、＜早めに対処しろ。＜＜;Don't waste time on them.＜＜＜;;
5655;20;説明は以上だ。＜＜＜;We're done.＜＜＜;;
5677;36;今回の内容をよく頭に叩き込んで＜＜＜;Don't forget what you saw.＜＜＜;;
5715;36;確実で、迅速な行動を心がけろ！＜＜＜;Good luck on the Battlefield.＜＜＜;;
