Offset;OriginalLength;OriginalString;Translation;Notes;
0;31;ノトシュ;soyuz;;
31;31;ＲＫ;rk;;
62;31;きくち;kikuti;;
93;31;シモ;shimo;;
124;31;ＴＡＧ;tag;;
155;31;ほえ;hoe;;
186;31;１時;1 o'clock;;
217;31;２時;2 o'clock;;
248;31;３時;3 o'clock;;
279;31;４時;4 o'clock;;
310;31;５時;5 o'clock;;
341;31;６時;6 o'clock;;
372;31;７時;7 o'clock;;
403;31;８時;8 o'clock;;
434;31;９時;9 o'clock;;
465;31;１０時;10 o'clock;;
496;31;１１時;11 o'clock;;
527;31;１２時;12 o'clock;;
558;31;右から;to the right;;
589;31;左から;to the left;;
620;31;１号車;Tank 1;;
651;31;２号車;Tank 2;;
682;31;３号車;Tank 3;;
713;31;４号車;Tank 4;;
744;31;みちゃ;syoki 5;;
775;31;いや！;syoki 6;;
806;31;初期戦車７;syoki 7;;
837;31;初期戦車８;syoki 8;;
868;31;初期戦車９;syoki 9;;
899;31;初期戦車Ａ;syoki 10;;
930;31;初期戦車Ｂ;syoki 11;;
961;31;初期戦車Ｃ;syoki 12;;
992;31;初期戦車Ｄ;syoki 13;;
1023;31;初期戦車Ｅ;syoki 14;;
1054;31;初期戦車Ｆ;syoki 15;;
1085;31;初期戦車Ｇ;syoki 16;;
1116;31;後詰戦車１;atodu 1;;
1147;31;後詰戦車２;atodu 2;;
1178;31;後詰戦車３;atodu 3;;
1209;31;後詰戦車４;atodu 4;;
1240;31;後詰戦車５;atodu 5;;
1271;31;後詰戦車６;atodu 6;;
1302;31;後詰戦車７;atodu 7;;
1333;31;後詰戦車８;atodu 8;;
1364;31;後詰戦車９;atodu 9;;
1395;31;後詰戦車Ａ;atodu 10;;
1426;31;後詰戦車Ｂ;atodu 11;;
1457;31;後詰戦車Ｃ;atodu 12;;
1488;31;後詰戦車Ｄ;atodu 13;;
1519;31;後詰戦車Ｅ;atodu 14;;
1550;31;後詰戦車Ｆ;atodu 15;;
1581;31;後詰戦車Ｇ;atodu 16;;
1612;31;初期歩兵１;sh 1;;
1643;31;初期歩兵２;sh 2;;
1674;31;初期歩兵３;sh 3;;
1705;31;初期歩兵４;sh 4;;
1736;31;初期歩兵５;sh 5;;
1767;31;初期歩兵６;sh 6;;
1798;31;初期歩兵７;sh 7;;
1829;31;初期歩兵８;sh 8;;
1860;31;初期歩兵９;sh 9;;
1891;31;初期歩兵Ａ;sh 10;;
1922;31;初期歩兵Ｂ;sh 11;;
1953;31;初期歩兵Ｃ;sh 12;;
1984;31;初期歩兵Ｄ;sh 13;;
2015;31;初期歩兵Ｅ;sh 14;;
2046;31;初期歩兵Ｆ;sh 15;;
2077;31;初期歩兵Ｇ;sh 16;;
2108;31;後詰歩兵１;ah 1;;
2139;31;後詰歩兵２;ah 2;;
2170;31;後詰歩兵３;ah 3;;
2201;31;後詰歩兵４;ah 4;;
2232;31;後詰歩兵５;ah 5;;
2263;31;後詰歩兵６;ah 6;;
2294;31;後詰歩兵７;ah 7;;
2325;31;後詰歩兵８;ah 8;;
2356;31;後詰歩兵９;ah 9;;
2387;31;後詰歩兵Ａ;ah 10;;
2418;31;後詰歩兵Ｂ;ah 11;;
2449;31;後詰歩兵Ｃ;ah 12;;
2480;31;後詰歩兵Ｄ;ah 13;;
2511;31;後詰歩兵Ｅ;ah 14;;
2542;31;後詰歩兵Ｆ;ah 15;;
2573;31;後詰歩兵Ｇ;ah 16;;
2604;31;戦略地点名１;strategy p 1;;
2635;31;戦略地点名２;strategy p 2;;
2666;31;戦略地点名３;strategy p 3;;
2697;31;戦略地点名４;strategy p 4;;
2728;31;戦略地点名５;strategy p 5;;
2759;31;戦略地点名６;strategy p 6;;
2790;31;戦略地点名７;strategy p 7;;
2821;31;戦略地点名８;strategy p 8;;
2852;31;戦車長：　　　　　　　　　　　;Tank Commander:    ;;
2883;31;戦闘開始！　　　　　　　　　　;Begin the attack!   ;;
2914;31;　　　　　　　　　　　　　　　;        ;;
2945;31;戦車長：　　　　　　　　　　　;Tank Commander:    ;;
2976;31;全車撃破、戦闘を終了する！　　;All units destroyed.   ;;
3007;31;　　　　　　　　　　　　　　　;Cease fire!     ;;
3038;31;戦車長：　　　　　　　　　　　;Tank Commander:    ;;
3069;31;自小隊全滅！　戦闘を終了する！;Our platoon has been   ;;
3100;31;固定ＭＳＧ９　　　　　　　　　; wiped out! End the attack. ;;
3131;31;固定ＭＳＧ１０　　　　　　　　;        ;;
3162;31;固定ＭＳＧ１１　　　　　　　　;        ;;
3193;31;固定ＭＳＧ１２　　　　　　　　;        ;;
3224;31;固定ＭＳＧ１３　　　　　　　　;        ;;
3255;31;固定ＭＳＧ１４　　　　　　　　;        ;;
3286;31;固定ＭＳＧ１５　　　　　　　　;        ;;
3317;31;固定ＭＳＧ１６　　　　　　　　;        ;;
3348;31;固定ＭＳＧ１７　　　　　　　　;        ;;
3379;31;固定ＭＳＧ１８　　　　　　　　;        ;;
3410;31;固定ＭＳＧ１９　　　　　　　　;        ;;
3441;31;固定ＭＳＧ２０　　　　　　　　;        ;;
3472;31;固定ＭＳＧ２１　　　　　　　　;        ;;
3503;31;固定ＭＳＧ２２　　　　　　　　;        ;;
3534;31;固定ＭＳＧ２３　　　　　　　　;        ;;
3565;31;固定ＭＳＧ２４　　　　　　　　;        ;;
3596;31;固定ＭＳＧ２５　　　　　　　　;        ;;
3627;31;固定ＭＳＧ２６　　　　　　　　;        ;;
3658;31;固定ＭＳＧ２７　　　　　　　　;        ;;
3689;31;固定ＭＳＧ２８　　　　　　　　;        ;;
3720;31;固定ＭＳＧ２９　　　　　　　　;        ;;
3751;31;固定ＭＳＧ３０　　　　　　　　;        ;;
3782;31;固定ＭＳＧ３１　　　　　　　　;        ;;
3813;31;固定ＭＳＧ３２　　　　　　　　;        ;;
3844;31;固定ＭＳＧ３３　　　　　　　　;        ;;
3875;31;固定ＭＳＧ３４　　　　　　　　;        ;;
3906;31;固定ＭＳＧ３５　　　　　　　　;        ;;
3937;31;固定ＭＳＧ３６　　　　　　　　;        ;;
3968;31;固定ＭＳＧ３７　　　　　　　　;        ;;
3999;31;固定ＭＳＧ３８　　　　　　　　;        ;;
4030;31;固定ＭＳＧ３９　　　　　　　　;        ;;
4061;31;固定ＭＳＧ４０　　　　　　　　;        ;;
4092;31;固定ＭＳＧ４１　　　　　　　　;        ;;
4123;31;固定ＭＳＧ４２　　　　　　　　;        ;;
4154;31;固定ＭＳＧ４３　　　　　　　　;        ;;
4185;31;固定ＭＳＧ４４　　　　　　　　;        ;;
4216;31;固定ＭＳＧ４５　　　　　　　　;        ;;
4247;31;固定ＭＳＧ４６　　　　　　　　;        ;;
4278;31;固定ＭＳＧ４７　　　　　　　　;        ;;
4309;31;固定ＭＳＧ４８　　　　　　　　;        ;;
4340;31;固定ＭＳＧ４９　　　　　　　　;        ;;
4371;31;固定ＭＳＧ５０　　　　　　　　;        ;;
4402;31;固定ＭＳＧ５１　　　　　　　　;        ;;
4433;31;固定ＭＳＧ５２　　　　　　　　;        ;;
4464;31;固定ＭＳＧ５３　　　　　　　　;        ;;
4495;31;固定ＭＳＧ５４　　　　　　　　;        ;;
4526;31;固定ＭＳＧ５５　　　　　　　　;        ;;
4557;31;固定ＭＳＧ５６　　　　　　　　;        ;;
4588;31;固定ＭＳＧ５７　　　　　　　　;        ;;
4619;31;固定ＭＳＧ５８　　　　　　　　;        ;;
4650;31;固定ＭＳＧ５９　　　　　　　　;        ;;
4681;31;固定ＭＳＧ６０　　　　　　　　;        ;;
4712;31;固定ＭＳＧ６１　　　　　　　　;        ;;
4743;31;固定ＭＳＧ６２　　　　　　　　;        ;;
4774;31;固定ＭＳＧ６３　　　　　　　　;        ;;
4805;31;火点　　　　　　　　　　　　;Fire point;;
4836;31;戦車種類１;tank kind 1;;
4867;31;戦車種類２;tank kind 2;;
4898;31;Ｔ－８０;tank kind 3;;
4929;31;戦車種類４;tank kind 4;;
4960;31;戦車種類５;tank kind 5;;
4991;31;戦車種類６;tank kind 6;;
5022;31;戦車種類７;tank kind 7;;
5053;31;戦車種類８;tank kind 8;;
5084;31;砲塔前面;tank parts name;;
5115;31;砲塔側面;tank parts name;;
5146;31;砲塔後面;tank parts name;;
5177;31;車体前面;tank parts name;;
5208;31;車体側面;tank parts name;;
5239;31;車体後面;tank parts name;;
5270;31;キャタピラ;tank parts name;;
5301;31;車体前面;tank parts name;;
5332;31;車体側面;tank parts name;;
5363;31;車体後面;tank parts name;;
5394;31;車体;tank parts name;;
5425;31;砲塔;tank parts name;;
5456;31;戦車部分名称;tank parts name;;
5487;31;戦車部分名称;tank parts name;;
5518;31;ノトシュ;soyuz;;
5549;31;ＲＫ;rk;;
5580;31;きくち;kikuti;;
5611;31;シモ;shimo;;
5642;31;ＴＡＧ;tag;;
5673;31;ほえ;hoe;;
5704;31;１時;at 1 o'clock;;
5735;31;２時;at 2 o'clock;;
5766;31;３時;at 3 o'clock;;
5797;31;４時;at 4 o'clock;;
5828;31;５時;at 5 o'clock;;
5859;31;６時;at 6 o'clock;;
5890;31;７時;at 7 o'clock;;
5921;31;８時;at 8 o'clock;;
5952;31;９時;at 9 o'clock;;
5983;31;１０時;at 10 o'clock;;
6014;31;１１時;at 11 o'clock;;
6045;31;１２時;at 12 o'clock;;
6076;31;右から;to the right;;
6107;31;左から;to the left;;
6138;31;初期戦車１;syoki 1;;
6169;31;初期戦車２;syoki 2;;
6200;31;初期戦車３;syoki 3;;
6231;31;初期戦車４;syoki 4;;
6262;31;初期戦車５;syoki 5;;
6293;31;初期戦車６;syoki 6;;
6324;31;初期戦車７;syoki 7;;
6355;31;初期戦車８;syoki 8;;
6386;31;初期戦車９;syoki 9;;
6417;31;初期戦車Ａ;syoki 10;;
6448;31;初期戦車Ｂ;syoki 11;;
6479;31;初期戦車Ｃ;syoki 12;;
6510;31;初期戦車Ｄ;syoki 13;;
6541;31;初期戦車Ｅ;syoki 14;;
6572;31;初期戦車Ｆ;syoki 15;;
6603;31;初期戦車Ｇ;syoki 16;;
6634;31;後詰戦車１;atodu 1;;
6665;31;後詰戦車２;atodu 2;;
6696;31;後詰戦車３;atodu 3;;
6727;31;後詰戦車４;atodu 4;;
6758;31;後詰戦車５;atodu 5;;
6789;31;後詰戦車６;atodu 6;;
6820;31;後詰戦車７;atodu 7;;
6851;31;後詰戦車８;atodu 8;;
6882;31;後詰戦車９;atodu 9;;
6913;31;後詰戦車Ａ;atodu 10;;
6944;31;後詰戦車Ｂ;atodu 11;;
6975;31;後詰戦車Ｃ;atodu 12;;
7006;31;後詰戦車Ｄ;atodu 13;;
7037;31;後詰戦車Ｅ;atodu 14;;
7068;31;後詰戦車Ｆ;atodu 15;;
7099;31;後詰戦車Ｇ;atodu 16;;
7130;31;初期歩兵１;sh 1;;
7161;31;初期歩兵２;sh 2;;
7192;31;初期歩兵３;sh 3;;
7223;31;初期歩兵４;sh 4;;
7254;31;初期歩兵５;sh 5;;
7285;31;初期歩兵６;sh 6;;
7316;31;初期歩兵７;sh 7;;
7347;31;初期歩兵８;sh 8;;
7378;31;初期歩兵９;sh 9;;
7409;31;初期歩兵Ａ;sh 10;;
7440;31;初期歩兵Ｂ;sh 11;;
7471;31;初期歩兵Ｃ;sh 12;;
7502;31;初期歩兵Ｄ;sh 13;;
7533;31;初期歩兵Ｅ;sh 14;;
7564;31;初期歩兵Ｆ;sh 15;;
7595;31;初期歩兵Ｇ;sh 16;;
7626;31;後詰歩兵１;ah 1;;
7657;31;後詰歩兵２;ah 2;;
7688;31;後詰歩兵３;ah 3;;
7719;31;後詰歩兵４;ah 4;;
7750;31;後詰歩兵５;ah 5;;
7781;31;後詰歩兵６;ah 6;;
7812;31;後詰歩兵７;ah 7;;
7843;31;後詰歩兵８;ah 8;;
7874;31;後詰歩兵９;ah 9;;
7905;31;後詰歩兵Ａ;ah 10;;
7936;31;後詰歩兵Ｂ;ah 11;;
7967;31;後詰歩兵Ｃ;ah 12;;
7998;31;後詰歩兵Ｄ;ah 13;;
8029;31;後詰歩兵Ｅ;ah 14;;
8060;31;後詰歩兵Ｆ;ah 15;;
8091;31;後詰歩兵Ｇ;ah 16;;
8122;31;戦略地点名１;strategy p 1;;
8153;31;戦略地点名２;strategy p 2;;
8184;31;戦略地点名３;strategy p 3;;
8215;31;戦略地点名４;strategy p 4;;
8246;31;戦略地点名５;strategy p 5;;
8277;31;戦略地点名６;strategy p 6;;
8308;31;戦略地点名７;strategy p 7;;
8339;31;戦略地点名８;strategy p 8;;
8370;31;固定ＭＳＧ１　　　　　　　　　;        ;;
8401;31;固定ＭＳＧ２　　　　　　　　　;        ;;
8432;31;固定ＭＳＧ３　　　　　　　　　;        ;;
8463;31;固定ＭＳＧ４　　　　　　　　　;        ;;
8494;31;固定ＭＳＧ５　　　　　　　　　;        ;;
8525;31;固定ＭＳＧ６　　　　　　　　　;        ;;
8556;31;固定ＭＳＧ７　　　　　　　　　;        ;;
8587;31;固定ＭＳＧ８　　　　　　　　　;        ;;
8618;31;固定ＭＳＧ９　　　　　　　　　;        ;;
8649;31;固定ＭＳＧ１０　　　　　　　　;        ;;
8680;31;固定ＭＳＧ１１　　　　　　　　;        ;;
8711;31;固定ＭＳＧ１２　　　　　　　　;        ;;
8742;31;固定ＭＳＧ１３　　　　　　　　;        ;;
8773;31;固定ＭＳＧ１４　　　　　　　　;        ;;
8804;31;固定ＭＳＧ１５　　　　　　　　;        ;;
8835;31;固定ＭＳＧ１６　　　　　　　　;        ;;
8866;31;固定ＭＳＧ１７　　　　　　　　;        ;;
8897;31;固定ＭＳＧ１８　　　　　　　　;        ;;
8928;31;固定ＭＳＧ１９　　　　　　　　;        ;;
8959;31;固定ＭＳＧ２０　　　　　　　　;        ;;
8990;31;固定ＭＳＧ２１　　　　　　　　;        ;;
9021;31;固定ＭＳＧ２２　　　　　　　　;        ;;
9052;31;固定ＭＳＧ２３　　　　　　　　;        ;;
9083;31;固定ＭＳＧ２４　　　　　　　　;        ;;
9114;31;固定ＭＳＧ２５　　　　　　　　;        ;;
9145;31;固定ＭＳＧ２６　　　　　　　　;        ;;
9176;31;固定ＭＳＧ２７　　　　　　　　;        ;;
9207;31;固定ＭＳＧ２８　　　　　　　　;        ;;
9238;31;固定ＭＳＧ２９　　　　　　　　;        ;;
9269;31;固定ＭＳＧ３０　　　　　　　　;        ;;
9300;31;固定ＭＳＧ３１　　　　　　　　;        ;;
