Offset;OriginalLength;OriginalString;Translation;Notes;
0;16;１号車　　　　　;Tank 1   ;;
16;16;２号車　　　　　;Tank 2   ;;
32;16;３号車　　　　　;Tank 3   ;;
48;16;４号車　　　　　;Tank 4   ;;
64;16;みちゃ　　　　　;syoki 5   ;;
80;16;いや！　　　　　;syoki 6   ;;
96;16;初期戦車７　　　;syoki 7   ;;
112;16;初期戦車８　　　;syoki 8   ;;
128;16;初期戦車９　　　;syoki 9   ;;
144;16;初期戦車Ａ　　　;syoki 10  ;;
160;16;初期戦車Ｂ　　　;syoki 11  ;;
176;16;初期戦車Ｃ　　　;syoki 12  ;;
192;16;初期戦車Ｄ　　　;syoki 13  ;;
208;16;初期戦車Ｅ　　　;syoki 14  ;;
224;16;初期戦車Ｆ　　　;syoki 15  ;;
240;16;初期戦車Ｇ　　　;syoki 16  ;;
256;16;後詰戦車１　　　;atodu 1   ;;
272;16;後詰戦車２　　　;atodu 2   ;;
288;16;後詰戦車３　　　;atodu 3   ;;
304;16;後詰戦車４　　　;atodu 4   ;;
320;16;後詰戦車５　　　;atodu 5   ;;
336;16;後詰戦車６　　　;atodu 6   ;;
352;16;後詰戦車７　　　;atodu 7   ;;
368;16;後詰戦車８　　　;atodu 8   ;;
384;16;後詰戦車９　　　;atodu 9   ;;
400;16;後詰戦車Ａ　　　;atodu 10  ;;
416;16;後詰戦車Ｂ　　　;atodu 11  ;;
432;16;後詰戦車Ｃ　　　;atodu 12  ;;
448;16;後詰戦車Ｄ　　　;atodu 13  ;;
464;16;後詰戦車Ｅ　　　;atodu 14  ;;
480;16;後詰戦車Ｆ　　　;atodu 15  ;;
496;16;後詰戦車Ｇ　　　;atodu 16  ;;
512;16;初期戦車１　　　;syoki 1   ;;
528;16;初期戦車２　　　;syoki 2   ;;
544;16;初期戦車３　　　;syoki 3   ;;
560;16;初期戦車４　　　;syoki 4   ;;
576;16;初期戦車５　　　;syoki 5   ;;
592;16;初期戦車６　　　;syoki 6   ;;
608;16;初期戦車７　　　;syoki 7   ;;
624;16;初期戦車８　　　;syoki 8   ;;
640;16;初期戦車９　　　;syoki 9   ;;
656;16;初期戦車Ａ　　　;syoki 10  ;;
672;16;初期戦車Ｂ　　　;syoki 11  ;;
688;16;初期戦車Ｃ　　　;syoki 12  ;;
704;16;初期戦車Ｄ　　　;syoki 13  ;;
720;16;初期戦車Ｅ　　　;syoki 14  ;;
736;16;初期戦車Ｆ　　　;syoki 15  ;;
752;16;初期戦車Ｇ　　　;syoki 16  ;;
768;16;後詰戦車１　　　;atodu 1   ;;
784;16;後詰戦車２　　　;atodu 2   ;;
800;16;後詰戦車３　　　;atodu 3   ;;
816;16;後詰戦車４　　　;atodu 4   ;;
832;16;後詰戦車５　　　;atodu 5   ;;
848;16;後詰戦車６　　　;atodu 6   ;;
864;16;後詰戦車７　　　;atodu 7   ;;
880;16;後詰戦車８　　　;atodu 8   ;;
896;16;後詰戦車９　　　;atodu 9   ;;
912;16;後詰戦車Ａ　　　;atodu 10  ;;
928;16;後詰戦車Ｂ　　　;atodu 11  ;;
944;16;後詰戦車Ｃ　　　;atodu 12  ;;
960;16;後詰戦車Ｄ　　　;atodu 13  ;;
976;16;後詰戦車Ｅ　　　;atodu 14  ;;
992;16;後詰戦車Ｆ　　　;atodu 15  ;;
1008;16;後詰戦車Ｇ　　　;atodu 16  ;;
1024;16;アンバー１　　　;Amber 1   ;;
1040;16;アンバー２　　　;Amber 2   ;;
1056;16;アンバー３　　　;Amber 3   ;;
1072;16;アンバー４　　　;Amber 4   ;;
1088;16;ボーラ１　　　　;Bola 1   ;;
1104;16;ボーラ２　　　　;Bola 2   ;;
1120;16;ボーラ３　　　　;Bola 3   ;;
1136;16;ボーラ４　　　　;Bola 4   ;;
1152;16;初期戦車９　　　;syoki 9   ;;
1168;16;初期戦車Ａ　　　;syoki 10  ;;
1184;16;初期戦車Ｂ　　　;syoki 11  ;;
1200;16;初期戦車Ｃ　　　;syoki 12  ;;
1216;16;初期戦車Ｄ　　　;syoki 13  ;;
1232;16;初期戦車Ｅ　　　;syoki 14  ;;
1248;16;初期戦車Ｆ　　　;syoki 15  ;;
1264;16;初期戦車Ｇ　　　;syoki 16  ;;
1280;16;アロー１　　　　;Arrow 1   ;;
1296;16;アロー２　　　　;Arrow 2   ;;
1312;16;アロー３　　　　;Arrow 3   ;;
1328;16;敵戦車Ａ　　　　;atodu 4   ;;
1344;16;敵戦車Ｂ　　　　;atodu 5   ;;
1360;16;敵戦車Ｃ　　　　;atodu 6   ;;
1376;16;敵戦車Ｄ　　　　;atodu 7   ;;
1392;16;対戦車砲Ａ　　　;atodu 8   ;;
1408;16;敵戦車Ｅ　　　　;atodu 9   ;;
1424;16;敵戦車Ｆ　　　　;Conqueror 1  ;;
1440;16;コンカラー１　　;Conqueror 2  ;;
1456;16;コンカラー２　　;Conqueror 3  ;;
1472;16;コンカラー３　　;atodu 14  ;;
1488;16;後詰戦車Ｅ　　　;atodu 15  ;;
1504;16;後詰戦車Ｆ　　　;atodu 16  ;;
1520;16;後詰戦車Ｇ　　　;atodu 16  ;;
1536;16;ドジャー１　　　;Dodger 1  ;;
1552;16;ドジャー２　　　;Dodger 2  ;;
1568;16;ドジャー３　　　;Dodger 3  ;;
1584;16;ドジャー４　　　;Dodger 4  ;;
1600;16;フォックス１　　;Fox 1   ;;
